method,lineName,direction,component,vehicle_count,start_time,end_time,duration,label
oa_mbr,M2333,1.0,"BS00077D,BS01899D",2,2019-01-04T07:48:07.000+08:00,2019-01-04T07:51:48.000+08:00,221.0,1
oa_mbr,M2333,1.0,"BS01841D,BS06103D",2,2019-01-04T07:48:21.000+08:00,2019-01-04T07:51:46.000+08:00,205.0,1
oa_mbr,M2333,1.0,"BS00077D,BS01899D",2,2019-01-04T08:08:16.000+08:00,2019-01-04T08:27:48.000+08:00,1172.0,1
oa_mbr,M2333,1.0,"BS00077D,BS07325D",2,2019-01-04T09:28:16.000+08:00,2019-01-04T09:31:51.000+08:00,215.0,1
oa_mbr,M2333,1.0,"BS00406D,BS01841D",2,2019-01-04T09:36:08.000+08:00,2019-01-04T09:39:47.000+08:00,219.0,1
oa_mbr,M2333,1.0,"BS35658D,BS45160D",2,2019-01-04T09:40:11.000+08:00,2019-01-04T09:47:44.000+08:00,453.0,1
oa_mbr,M2333,1.0,"BS04785D,BS35658D",2,2019-01-04T10:16:09.000+08:00,2019-01-04T10:19:49.000+08:00,220.0,1
oa_mbr,M2333,1.0,"SZBDL541,SZBDL542",2,2019-01-04T10:24:04.000+08:00,2019-01-04T10:27:54.000+08:00,230.0,1
oa_mbr,M2333,1.0,"BS45016D,BS48818D",2,2019-01-04T12:00:12.000+08:00,2019-01-04T12:27:48.000+08:00,1656.0,1
oa_mbr,M2333,1.0,"BS08123D,SZBDL541",2,2019-01-04T12:16:14.000+08:00,2019-01-04T12:23:24.000+08:00,430.0,1
oa_mbr,M2333,1.0,"BS04392D,BS48818D",2,2019-01-04T19:24:05.000+08:00,2019-01-04T19:27:25.000+08:00,200.0,1
oa_mbr,M2333,2.0,"BS01605D,BS08175D",2,2019-01-04T08:04:38.000+08:00,2019-01-04T08:15:38.000+08:00,660.0,1
oa_mbr,M2333,2.0,"BS01605D,BS08175D",2,2019-01-04T08:20:11.000+08:00,2019-01-04T08:23:48.000+08:00,217.0,1
oa_mbr,M2333,2.0,"BS01605D,BS08175D",2,2019-01-04T08:36:11.000+08:00,2019-01-04T08:39:38.000+08:00,207.0,1
oa_mbr,M2333,2.0,"BS45016D,BS48818D",2,2019-01-04T08:36:29.000+08:00,2019-01-04T08:39:45.000+08:00,196.0,1
oa_mbr,M2333,2.0,"BS45016D,BS48818D",2,2019-01-04T08:52:13.000+08:00,2019-01-04T08:59:43.000+08:00,450.0,1
oa_mbr,M2333,2.0,"BS45016D,BS48818D",2,2019-01-04T09:08:10.000+08:00,2019-01-04T09:11:43.000+08:00,213.0,1
oa_mbr,M2333,2.0,"BS00652D,BS04358D",2,2019-01-04T09:36:12.000+08:00,2019-01-04T09:43:54.000+08:00,462.0,1
oa_mbr,M2333,2.0,"BS00047D,BS06855D",2,2019-01-04T10:20:11.000+08:00,2019-01-04T10:35:46.000+08:00,935.0,1
oa_mbr,M2333,2.0,"BS03383D,BS07977D",2,2019-01-04T11:56:11.000+08:00,2019-01-04T12:03:08.000+08:00,417.0,1
oa_mbr,M2333,2.0,"BS04785D,BS45160D",2,2019-01-04T11:56:14.000+08:00,2019-01-04T12:19:19.000+08:00,1385.0,1
oa_mbr,M2333,2.0,"BS00406D,BS06787D",2,2019-01-04T12:16:12.000+08:00,2019-01-04T12:19:46.000+08:00,214.0,1
oa_mbr,M2333,2.0,"BS01839D,BS07977D,SZBDL607",3,2019-01-04T19:24:51.000+08:00,2019-01-04T19:31:41.000+08:00,410.0,1
oa_mbr,M2333,2.0,"BS01839D,BS07977D",2,2019-01-04T19:28:01.000+08:00,2019-01-04T19:31:41.000+08:00,220.0,1
oa_mbr,M2333,2.0,"BS45016D,SZBDL541",2,2019-01-04T19:52:23.000+08:00,2019-01-04T19:55:23.000+08:00,180.0,1
