method,lineName,direction,component,vehicle_count,start_time,end_time,duration,label
oa_mbr,M2333,1.0,"BS00077D,BS01899D",2,2019-01-04T07:48:07.000+08:00,2019-01-04T07:51:48.000+08:00,221.0,1
oa_mbr,M2333,1.0,"BS01841D,BS06103D",2,2019-01-04T07:48:21.000+08:00,2019-01-04T07:51:46.000+08:00,205.0,1
oa_mbr,M2333,1.0,"BS00077D,BS01899D",2,2019-01-04T08:08:16.000+08:00,2019-01-04T08:27:48.000+08:00,1172.0,1
oa_mbr,M2333,1.0,"BS00406D,BS06787D",2,2019-01-04T09:00:06.000+08:00,2019-01-04T09:15:46.000+08:00,940.0,1
oa_mbr,M2333,1.0,"BS04785D,BS35658D",2,2019-01-04T09:08:11.000+08:00,2019-01-04T09:15:39.000+08:00,448.0,1
oa_mbr,M2333,1.0,"BS00077D,BS01899D,BS07325D",3,2019-01-04T09:12:36.000+08:00,2019-01-04T09:23:16.000+08:00,640.0,1
oa_mbr,M2333,1.0,"BS00077D,BS07325D",2,2019-01-04T09:28:16.000+08:00,2019-01-04T09:31:51.000+08:00,215.0,1
oa_mbr,M2333,1.0,"BS00406D,BS01841D",2,2019-01-04T09:36:08.000+08:00,2019-01-04T09:39:47.000+08:00,219.0,1
oa_mbr,M2333,1.0,"BS35658D,BS45160D",2,2019-01-04T09:40:11.000+08:00,2019-01-04T09:47:44.000+08:00,453.0,1
oa_mbr,M2333,1.0,"SZBDL622,SZBDL631",2,2019-01-04T09:48:23.000+08:00,2019-01-04T09:59:48.000+08:00,685.0,1
oa_mbr,M2333,1.0,"BS04785D,BS35658D",2,2019-01-04T10:16:09.000+08:00,2019-01-04T10:19:49.000+08:00,220.0,1
oa_mbr,M2333,1.0,"SZBDL541,SZBDL542",2,2019-01-04T10:24:04.000+08:00,2019-01-04T10:27:54.000+08:00,230.0,1
oa_mbr,M2333,1.0,"BS45016D,BS48818D",2,2019-01-04T12:00:12.000+08:00,2019-01-04T12:27:48.000+08:00,1656.0,1
oa_mbr,M2333,1.0,"BS08123D,SZBDL541",2,2019-01-04T12:16:14.000+08:00,2019-01-04T12:23:24.000+08:00,430.0,1
oa_mbr,M2333,1.0,"BS04392D,BS09813D,BS48818D",3,2019-01-04T12:44:15.000+08:00,2019-01-04T12:47:47.000+08:00,212.0,1
oa_mbr,M2333,1.0,"BS04392D,BS09813D,BS48818D",3,2019-01-04T12:52:27.000+08:00,2019-01-04T12:55:48.000+08:00,201.0,1
oa_mbr,M2333,1.0,"BS01841D,BS06066D",2,2019-01-04T14:08:15.000+08:00,2019-01-04T14:11:45.000+08:00,210.0,1
oa_mbr,M2333,1.0,"BS00077D,BS08748D",2,2019-01-04T17:52:42.000+08:00,2019-01-04T18:03:42.000+08:00,660.0,1
oa_mbr,M2333,1.0,"BS04392D,BS48818D",2,2019-01-04T19:24:05.000+08:00,2019-01-04T19:27:25.000+08:00,200.0,1
oa_mbr,M2333,1.0,"BS35658D,BS45160D",2,2019-01-04T19:44:11.000+08:00,2019-01-04T19:47:41.000+08:00,210.0,1
oa_mbr,M2333,1.0,"SZBDL457,SZBDL497",2,2019-01-04T22:12:19.000+08:00,2019-01-04T22:23:45.000+08:00,686.0,1
oa_mbr,M2333,2.0,"BS01605D,BS08175D",2,2019-01-04T08:04:38.000+08:00,2019-01-04T08:15:38.000+08:00,660.0,1
oa_mbr,M2333,2.0,"BS01605D,BS08175D",2,2019-01-04T08:20:11.000+08:00,2019-01-04T08:23:48.000+08:00,217.0,1
oa_mbr,M2333,2.0,"BS01605D,BS08175D",2,2019-01-04T08:36:11.000+08:00,2019-01-04T08:39:38.000+08:00,207.0,1
oa_mbr,M2333,2.0,"BS45016D,BS48818D",2,2019-01-04T08:36:29.000+08:00,2019-01-04T08:39:45.000+08:00,196.0,1
