lineName,direction,component,vehicle_count,start_time,end_time,duration,result_type
M2333,1.0,"BS00406D,BS06787D,BS07977D",3,2019-01-04 07:10:30,2019-01-04 07:13:30,180.0,FN
M2333,1.0,"BS00077D,BS01899D",2,2019-01-04 07:48:07,2019-01-04 07:51:48,221.0,TP
M2333,1.0,"BS01841D,BS06103D",2,2019-01-04 07:48:21,2019-01-04 07:51:46,205.0,TP
M2333,1.0,"BS00077D,BS01899D",2,2019-01-04 08:08:16,2019-01-04 08:27:48,1172.0,TP
M2333,1.0,"BS01841D,BS06103D",2,2019-01-04 08:48:03,2019-01-04 08:55:40,457.0,FN
M2333,1.0,"BS00406D,BS06787D",2,2019-01-04 09:00:06,2019-01-04 09:15:46,940.0,TP
M2333,1.0,"BS04785D,BS35658D",2,2019-01-04 09:08:11,2019-01-04 09:15:39,448.0,TP
M2333,1.0,"BS00077D,BS01899D,BS07325D",3,2019-01-04 09:12:36,2019-01-04 09:23:16,640.0,TP
M2333,1.0,"BS00077D,BS07325D",2,2019-01-04 09:28:16,2019-01-04 09:31:51,215.0,TP
M2333,1.0,"BS00406D,BS01841D",2,2019-01-04 09:36:08,2019-01-04 09:39:47,219.0,TP
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 09:40:11,2019-01-04 09:47:44,453.0,TP
M2333,1.0,"SZBDL622,SZBDL631",2,2019-01-04 09:48:23,2019-01-04 09:59:48,685.0,TP
M2333,1.0,"BS04785D,BS35658D",2,2019-01-04 10:16:09,2019-01-04 10:19:49,220.0,TP
M2333,1.0,"SZBDL541,SZBDL542",2,2019-01-04 10:24:04,2019-01-04 10:27:54,230.0,TP
M2333,1.0,"BS04392D,SZBDL541",2,2019-01-04 10:42:00,2019-01-04 10:45:00,180.0,FN
M2333,1.0,"BS45016D,BS48818D",2,2019-01-04 12:00:12,2019-01-04 12:27:48,1656.0,TP
M2333,1.0,"BS08123D,SZBDL541",2,2019-01-04 12:16:14,2019-01-04 12:23:24,430.0,TP
M2333,1.0,"BS04392D,BS09813D,BS48818D",3,2019-01-04 12:44:15,2019-01-04 12:47:47,212.0,TP
M2333,1.0,"BS04392D,BS09813D,BS48818D",3,2019-01-04 12:52:27,2019-01-04 12:55:48,201.0,FP
M2333,1.0,"BS01841D,BS06066D",2,2019-01-04 14:08:15,2019-01-04 14:11:45,210.0,FP
M2333,1.0,"BS00077D,BS08748D",2,2019-01-04 17:52:42,2019-01-04 18:03:42,660.0,TP
M2333,1.0,"BS04392D,BS48818D",2,2019-01-04 19:24:05,2019-01-04 19:27:25,200.0,TP
M2333,1.0,"BS04392D,BS48818D",2,2019-01-04 19:32:35,2019-01-04 19:35:35,180.0,FN
M2333,1.0,"BS35658D,BS45160D",2,2019-01-04 19:44:11,2019-01-04 19:47:41,210.0,TP
M2333,1.0,"SZBDL457,SZBDL497",2,2019-01-04 22:12:19,2019-01-04 22:23:45,686.0,TP
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 08:04:38,2019-01-04 08:15:38,660.0,TP
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 08:20:11,2019-01-04 08:23:48,217.0,FP
M2333,2.0,"BS01605D,BS08175D",2,2019-01-04 08:36:11,2019-01-04 08:39:38,207.0,TP
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 08:36:29,2019-01-04 08:39:45,196.0,TP
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 08:52:13,2019-01-04 08:59:43,450.0,TP
M2333,2.0,"BS45016D,BS48818D",2,2019-01-04 09:08:10,2019-01-04 09:11:43,213.0,FP
M2333,2.0,"BS00652D,BS04358D",2,2019-01-04 09:16:32,2019-01-04 09:19:42,190.0,TP
M2333,2.0,"BS00652D,BS04358D",2,2019-01-04 09:36:12,2019-01-04 09:43:54,462.0,TP
M2333,2.0,"BS00047D,BS06855D",2,2019-01-04 10:20:11,2019-01-04 10:35:46,935.0,TP
M2333,2.0,"BS07977D,BS35658D",2,2019-01-04 11:24:11,2019-01-04 11:31:48,457.0,TP
M2333,2.0,"BS03383D,BS07977D",2,2019-01-04 11:56:11,2019-01-04 12:03:08,417.0,FP
M2333,2.0,"BS04785D,BS45160D",2,2019-01-04 11:56:14,2019-01-04 12:19:19,1385.0,TP
M2333,2.0,"BS00406D,BS06787D",2,2019-01-04 12:16:12,2019-01-04 12:19:46,214.0,TP
M2333,2.0,"BS04785D,BS45160D",2,2019-01-04 12:24:19,2019-01-04 12:31:49,450.0,TP
M2333,2.0,"BS00652D,SZBDL542",2,2019-01-04 14:03:00,2019-01-04 14:06:00,180.0,FN
M2333,2.0,"BS04392D,BS48818D",2,2019-01-04 14:48:05,2019-01-04 14:51:25,200.0,TP
M2333,2.0,"BS00652D,BS04392D",2,2019-01-04 16:16:35,2019-01-04 16:19:54,199.0,FN
M2333,2.0,"BS07977D,SZBDL607",2,2019-01-04 17:40:31,2019-01-04 17:51:45,674.0,TP
M2333,2.0,"BS01605D,BS06787D",2,2019-01-04 18:08:32,2019-01-04 18:11:41,189.0,FN
M2333,2.0,"BS30937D,SZBDL542",2,2019-01-04 18:16:17,2019-01-04 18:19:33,196.0,TP
M2333,2.0,"BS30937D,SZBDL542",2,2019-01-04 18:24:37,2019-01-04 18:31:47,430.0,TP
M2333,2.0,"BS01605D,BS06787D",2,2019-01-04 18:52:30,2019-01-04 18:55:30,180.0,FN
M2333,2.0,"BS01839D,BS07977D,SZBDL607",3,2019-01-04 19:24:51,2019-01-04 19:31:41,410.0,TP
M2333,2.0,"BS01839D,BS07977D",2,2019-01-04 19:28:01,2019-01-04 19:31:41,220.0,FP
M2333,2.0,"BS45016D,SZBDL541",2,2019-01-04 19:52:23,2019-01-04 19:55:23,180.0,TP
M2333,2.0,"SZBDL447,SZBDL603",2,2019-01-04 20:40:30,2019-01-04 20:55:40,910.0,TP
M2503,1.0,"BS36521D,BS38816D",2,2019-01-04 08:04:17,2019-01-04 08:15:58,701.0,TP
M2503,1.0,"BS36521D,BS38816D",2,2019-01-04 08:24:44,2019-01-04 08:31:47,423.0,TP
M2503,1.0,"BS04146D,BS07860D",2,2019-01-04 09:21:00,2019-01-04 09:24:00,180.0,FN
M2503,1.0,"BS38888D,BS39961D",2,2019-01-04 13:52:30,2019-01-04 13:55:35,185.0,FN
